0,38,92,120
120,7,56,480
120,8,56,120
120,-15,46,120
120,19,69,240
240,-19,75,120
120,7,53,480
120,8,53,120
120,-15,48,120
120,19,65,240
240,-19,63,120
120,7,51,480
120,8,51,120
120,-15,46,120
120,19,60,240
240,-19,61,120
120,7,52,480
120,8,53,120
120,-15,46,120
120,19,60,240
240,12,79,480
0,-31,55,120
120,7,48,480
120,8,47,120
120,-15,41,120
120,27,73,240
0,-8,50,240
240,5,70,1440
0,-24,54,120
120,7,45,480
120,8,45,120
120,-15,38,120
120,19,53,240
240,-19,55,120
120,7,45,480
120,8,46,120
120,-15,40,120
120,19,53,240
240,8,72,240
0,-27,54,120
120,7,47,480
120,24,77,360
0,-16,47,120
120,-15,42,120
120,19,56,240
120,17,78,120
120,-2,77,1320
0,-34,57,120
120,7,49,480
120,8,49,120
120,-15,44,120
120,19,54,240
240,-19,56,120
120,7,48,480
120,8,49,120
120,-15,43,120
120,19,54,240
120,13,75,120
120,-1,70,720
0,-31,54,120
120,7,48,480
120,8,48,120
120,-15,43,120
120,19,51,240
240,-19,53,120
120,7,48,480
120,8,48,120
120,-15,42,120
120,19,51,240
120,12,77,120
120,0,77,480
0,-31,57,120
120,7,47,480
120,8,47,120
120,-15,42,120
120,19,54,240
120,8,63,40
36,-3,63,28
28,2,63,28
28,1,63,28
28,-1,72,240
0,-26,54,120
120,7,45,480
120,17,72,240
0,-9,45,120
120,-15,41,120
120,19,53,240
240,-19,55,120
120,7,45,480
120,8,45,120
120,-15,39,120
120,27,70,240
0,-8,53,240
240,12,72,240
0,-31,54,120
120,7,46,480
120,29,76,360
0,-21,46,120
120,-15,40,120
120,19,53,240
120,20,77,120
120,-1,79,1320
0,-38,55,120
120,7,47,480
120,8,47,120
120,-15,41,120
120,19,53,240
240,-19,54,120
120,7,47,480
120,8,46,120
120,-15,43,120
120,19,53,240
120,17,79,120
120,-5,79,360
0,-31,55,120
120,7,47,480
120,8,47,120
120,16,57,60
0,-31,44,120
60,33,57,60
60,1,58,60
0,-15,53,240
60,14,58,60
60,1,59,60
60,-1,59,60
60,1,60,60
0,-34,54,120
60,33,60,60
60,1,61,60
0,-29,46,480
60,28,61,60
60,1,62,60
0,-19,47,120
60,18,62,60
60,1,63,60
0,-34,42,120
60,33,63,60
60,1,63,60
0,-17,53,240
60,16,63,60
60,-2,64,60
60,2,64,60
60,1,79,720
0,-36,62,120
120,9,48,480
120,8,48,120
120,-17,44,120
120,21,56,240
240,13,78,480
0,-34,60,120
120,9,49,480
120,8,49,120
120,-17,45,120
120,33,73,240
0,-12,55,240
240,10,60,60
0,-31,59,120
60,33,61,60
60,-2,61,60
0,-24,48,120
60,26,62,60
60,-2,63,60
0,-14,49,120
60,16,63,60
60,-2,63,60
0,-31,45,120
60,33,64,60
60,-2,64,60
0,-12,63,240
60,14,65,60
60,-4,66,60
60,2,67,60
60,2,78,480
0,-33,60,120
120,7,49,120
120,10,49,120
120,-17,43,120
120,19,62,240
120,10,78,120
120,-5,72,1440
0,-24,63,120
120,10,50,120
120,7,50,120
120,-17,45,120
120,19,63,240
240,-19,63,120
120,10,48,120
120,7,48,120
120,-17,42,120
120,19,63,240
240,5,72,144
0,-24,61,120
120,10,51,120
24,16,61,48
48,-2,62,48
48,-1,63,48
0,-7,50,120
48,8,63,48
48,2,63,48
24,-26,44,120
24,28,64,48
48,1,64,48
48,2,65,48
0,-12,56,240
48,14,66,48
48,1,66,48
48,2,67,48
48,2,68,48
48,2,69,48
0,-40,61,120
48,41,69,48
48,2,70,48
24,-33,49,120
24,35,71,48
48,1,71,48
48,2,72,48
0,-32,49,120
48,34,72,48
48,2,72,48
24,-52,45,120
24,53,73,48
48,2,74,48
48,2,75,48
0,-38,57,240
48,39,75,48
48,2,76,48
48,2,77,48
48,2,77,48
48,1,90,480
0,-60,64,120
120,7,52,120
120,9,52,120
120,-16,45,120
120,19,59,240
240,-19,64,120
120,7,52,120
120,9,52,120
120,-16,45,120
120,19,59,240
240,11,64,60
